node_id,name,x_coord,y_coord,z_coord,node_type,ctrl_type,zone
108,,1520493,1001822,,,,108
109,,1522624,1001774,,,,109
110,,1521875,1000633,,,,110
111,,1520444,1000482,,,,111
132,,1522266.361,1003284.835,,,,132
133,,1520402,1003953,,,,133
134,,1519317.966,1002619.051,,,,134
135,,1522614,1002264,,,,135
175,,1520519,1001353,,,,175
176,,1519003,1001374,,,,176
177,,1519014,1001865,,,,177
178,,1521680,1001824,,,,178
179,,1521696,1001328,,,,179
180,,1522597,1001270,,,,180
181,,1521839,1003756,,,,181
182,,1522673,1003270,,,,182
184,,1520839,1002677,,,,184
185,,1521740,1002307,,,,185
186,,1521698,1002775,,,,186
187,,1522629,1002765,,,,187
100000,,1522861.781,1002980.753,,,,187
100010,,1522429.208,1002522.668,,,,185
100011,,1522640.668,1002519.222,,,,135
100012,,1522860.615,1002510.608,,,,135
100024,,1522864,1002264,,,,135
100025,,1522426.067,1002263.968,,,,185
100026,,1522421.055,1002003.079,,,,178
100027,,1522645.373,1002001.764,,,,109
100028,,1522858.975,1001998.192,,,,109
100038,,1522854,1001754,,,,109
100039,,1522411.434,1001766.444,,,,178
100040,,1522413.235,1001517.745,,,,179
100041,,1522603.035,1001517.234,,,,180
100042,,1522847.225,1001509.648,,,,180
100052,,1522403.22,1001002.564,,,,110
100053,,1522836.717,1000997.392,,,,110
100064,,1522396.801,1000625.066,,,,110
100065,,1522382.659,999911.375,,,,94
100066,,1522848.637,1000094.391,,,,94
100163,,1521449,1003813,,,,181
100165,,1521206.675,1002548.858,,,,184
100178,,1521279.811,1000581.167,,,,111
100179,,1520431.351,999712.938,,,,111
100192,,1522110.254,1000135.979,,,,110
100248,,1522126.939,1001522.121,,,,179
100249,,1522142.873,1002011.32,,,,178
100250,,1522391.488,1000375.522,,,,110
100251,,1522837.778,1000543.245,,,,110
100252,,1522143.491,1002527.763,,,,185
100253,,1522159.55,1002992.905,,,,186
100254,,1522160.051,1003290.151,,,,132
100255,,1522100,1000948,,,,110
100271,,1519005.655,1001586.072,,,,176
100272,,1518954.894,1001068.609,,,,111
100273,,1521706.886,1001542.033,,,,179
100274,,1521706.886,1001057.454,,,,110
100275,,1521712.52,1002026.611,,,,178
100276,,1522607.739,1000999.776,,,,110
100277,,1522132.618,1001790.076,,,,178
100278,,1521294.444,1001332.331,,,,175
100279,,1522113.801,1001310.251,,,,179
100280,,1522399.946,1001299.744,,,,179
100281,,1522842.948,1001305.547,,,,180
100282,,1522165.366,1003486.825,,,,132
100283,,1522640.668,1002989.639,,,,187
100284,,1522866,1003247,,,,182
100285,,1518981.739,1003551.742,,,,183
100287,,1520485.094,1003048.637,,,,184
100288,,1520623,1002561,,,,184
100289,,1522865.058,1002771.247,,,,187
100290,,1522430.945,1002781.003,,,,186
100291,,1522142.026,1002279.31,,,,185
100292,,1521312,1002320,,,,184
100293,,1522140.752,1002781.652,,,,186
100294,,1521329.365,1002798.556,,,,184
100295,,1521718.651,1002533.335,,,,185
100296,,1521723.79,1003007.038,,,,186
101764,,1518980.658,1002970.577,,,,134
101778,,1518726.714,1002102.129,,,,177
101834,,1519682.579,999694.625,,,,114
101841,,1521278.795,999778.312,,,,111
101842,,1521279.811,1000644.577,,,,111
101843,,1519694,1000492,,,,114
101844,,1522120.779,1001005.778,,,,110
101845,,1521295.371,1001062.793,,,,111
101846,,1520460.36,1001068.936,,,,111
101847,,1519705.596,1001070.843,,,,111
101853,,1519714.131,1001577.667,,,,176
101854,,1520512.343,1001564.571,,,,175
101855,,1521304.719,1001539.352,,,,175
101856,,1521304,1001763,,,,108
101857,,1521313.561,1002034.144,,,,108
101858,,1520513.479,1002069.335,,,,108
101859,,1519713,1001842,,,,177
101860,,1519722.366,1002098.712,,,,134
101861,,1518994.851,1002104.817,,,,134
101868,,1518985.389,1002587.371,,,,134
101869,,1519158.068,1002587.371,,,,134
101870,,1521321.588,1002545.352,,,,184
101871,,1521332.892,1003007.299,,,,184
101872,,1519736.375,1003034.422,,,,134
101878,,1519741.955,1003531.096,,,,183
101879,,1520489.805,1003519.789,,,,133
101880,,1521344.415,1003505.9,,,,133
101881,,1521345.6,1003889.091,,,,133
101882,,1519746.812,1003954.412,,,,183
101911,,1519283.438,1002102.451,,,,134
101913,,1520491.342,1003616.397,,,,133
101960,,1522440.7,1003268.771,,,,132
101986,,1522445.053,1003489.325,,,,132
101987,,1522704.195,1003486.894,,,,182
101988,,1522885.132,1003482.577,,,,182
101999,,1522436.948,1002987.958,,,,186
102000,,1520486.264,1002971.45,,,,184
102001,,1518979.088,1003705.824,,,,183
102006,,1522446.254,1003630.603,,,,181
102007,,1522710.109,1003767.605,,,,181
102009,,1522882.63,1003767.605,,,,181
102013,,1522165.366,1003630.344,,,,181
