              N,TAZID,geometry
1285,32,"POINT (-111.943375 40.616454)"
1286,18,"POINT (-111.934202 40.630776)"
1289,17,"POINT (-111.933868 40.616707)"
1290,35,"POINT (-111.924502 40.617134)"
1296,40,"POINT (-111.915638 40.613722)"
1299,36,"POINT (-111.908054 40.616174)"
1314,31,"POINT (-111.944074 40.606326)"
1316,31,"POINT (-111.943565 40.598006)"
1318,31,"POINT (-111.943411 40.590891)"
1319,34,"POINT (-111.934408 40.607297)"
1320,34,"POINT (-111.934152 40.599993)"
1322,34,"POINT (-111.934349 40.591006)"
1323,26,"POINT (-111.921418 40.591609)"
1325,24,"POINT (-111.907451 40.592344)"
1346,27,"POINT (-111.943605 40.584092)"
1348,27,"POINT (-111.943542 40.576985)"
1349,37,"POINT (-111.934352 40.576870)"
1351,33,"POINT (-111.943535 40.568001)"
1352,19,"POINT (-111.933963 40.567876)"
1353,37,"POINT (-111.934266 40.584068)"
1354,25,"POINT (-111.923428 40.584054)"
1355,25,"POINT (-111.924746 40.576632)"
1356,20,"POINT (-111.924114 40.567177)"
1357,20,"POINT (-111.914302 40.565109)"
1358,0,"POINT (-111.911502 40.583522)"
1359,28,"POINT (-111.911824 40.577722)"
1360,30,"POINT (-111.901834 40.584029)"
1361,23,"POINT (-111.902492 40.575680)"
1397,38,"POINT (-111.936589 40.553565)"
1404,39,"POINT (-111.908153 40.571760)"
3689,22,"POINT (-111.900748 40.562521)"
4156,0,"POINT (-111.900942 40.585620)"
4804,0,"POINT (-111.910307 40.602331)"
4899,15,"POINT (-111.910202 40.625016)"
4952,0,"POINT (-111.929251 40.616674)"
4958,0,"POINT (-111.910232 40.618529)"
5009,0,"POINT (-111.913172 40.610470)"
5010,0,"POINT (-111.910268 40.616808)"
5017,0,"POINT (-111.938751 40.609517)"
5018,0,"POINT (-111.938855 40.616737)"
5022,0,"POINT (-111.929163 40.609415)"
5027,0,"POINT (-111.910314 40.610655)"
5030,0,"POINT (-111.910235 40.620919)"
5034,13,"POINT (-111.902815 40.610924)"
5037,14,"POINT (-111.904767 40.620808)"
5103,0,"POINT (-111.929223 40.594991)"
5106,0,"POINT (-111.910268 40.598557)"
5109,0,"POINT (-111.910315 40.605939)"
5112,0,"POINT (-111.938730 40.587762)"
5113,0,"POINT (-111.938770 40.594013)"
5114,0,"POINT (-111.929195 40.587794)"
5117,0,"POINT (-111.910225 40.587717)"
5118,0,"POINT (-111.904260 40.588014)"
5119,11,"POINT (-111.901030 40.587971)"
5174,0,"POINT (-111.913869 40.559071)"
5175,0,"POINT (-111.904348 40.569696)"
5208,0,"POINT (-111.938693 40.562285)"
5209,0,"POINT (-111.938738 40.568083)"
5210,0,"POINT (-111.938741 40.576961)"
5211,0,"POINT (-111.938687 40.573111)"
5214,0,"POINT (-111.929207 40.562200)"
5215,0,"POINT (-111.919678 40.572454)"
5216,0,"POINT (-111.902774 40.558997)"
5219,0,"POINT (-111.929172 40.576740)"
5232,0,"POINT (-111.929201 40.572493)"
5238,6,"POINT (-111.938753 40.552997)"
5240,0,"POINT (-111.911929 40.614669)"
5356,9,"POINT (-111.899113 40.558973)"
5436,0,"POINT (-111.938742 40.624085)"
5440,0,"POINT (-111.929189 40.624117)"
5441,0,"POINT (-111.917107 40.623244)"
5524,0,"POINT (-111.925488 40.608731)"
5577,1,"POINT (-111.942300 40.624038)"
5578,41,"POINT (-111.938760 40.630427)"
5587,0,"POINT (-111.919260 40.560309)"
5588,0,"POINT (-111.917018 40.571988)"
5589,0,"POINT (-111.934063 40.587781)"
5592,0,"POINT (-111.922175 40.587742)"
5727,0,"POINT (-111.902133 40.588000)"
5728,0,"POINT (-111.900794 40.573575)"
5729,0,"POINT (-111.900825 40.569709)"
5730,0,"POINT (-111.905499 40.583282)"
5736,0,"POINT (-111.938695 40.602343)"
5820,0,"POINT (-111.929267 40.603321)"
5861,0,"POINT (-111.915194 40.621817)"
5863,0,"POINT (-111.916784 40.610265)"
5868,0,"POINT (-111.910187 40.558860)"
5929,10,"POINT (-111.897106 40.569721)"
6185,0,"POINT (-111.905514 40.575754)"
6253,21,"POINT (-111.913648 40.554715)"
6255,0,"POINT (-111.919626 40.565871)"
6256,0,"POINT (-111.929139 40.568044)"
6270,0,"POINT (-111.904847 40.593812)"
6273,0,"POINT (-111.905677 40.596462)"
7210,0,"POINT (-111.904821 40.585866)"
7984,0,"POINT (-111.900701 40.580648)"
8002,31,"POINT (-111.943373 40.593977)"
8116,31,"POINT (-111.944862 40.602292)"
8172,0,"POINT (-111.905503 40.580699)"
10847,8,"POINT (-111.902749 40.557151)"
10849,0,"POINT (-111.900672 40.584264)"
10850,0,"POINT (-111.904175 40.585624)"
10851,0,"POINT (-111.906130 40.597034)"
10852,0,"POINT (-111.909246 40.598382)"
10853,0,"POINT (-111.904442 40.592385)"
10854,0,"POINT (-111.904193 40.586691)"
10857,0,"POINT (-111.919656 40.562402)"
10872,0,"POINT (-111.913107 40.621094)"
11123,2,"POINT (-111.943739 40.609520)"
11124,0,"POINT (-111.931819 40.609526)"
11125,0,"POINT (-111.933970 40.624024)"
11126,0,"POINT (-111.918637 40.623724)"
11127,0,"POINT (-111.924686 40.623746)"
11128,0,"POINT (-111.907655 40.620856)"
11129,0,"POINT (-111.907639 40.610911)"
11146,0,"POINT (-111.938858 40.605898)"
11147,0,"POINT (-111.929235 40.607691)"
11148,0,"POINT (-111.938793 40.599039)"
11150,0,"POINT (-111.910332 40.607207)"
11151,12,"POINT (-111.906610 40.605960)"
11159,3,"POINT (-111.943604 40.587762)"
11160,0,"POINT (-111.938878 40.590844)"
11161,0,"POINT (-111.929272 40.591047)"
11172,0,"POINT (-111.938819 40.584171)"
11173,0,"POINT (-111.929246 40.584369)"
11180,4,"POINT (-111.944442 40.573253)"
11181,0,"POINT (-111.931031 40.573173)"
11182,0,"POINT (-111.930154 40.572580)"
11183,0,"POINT (-111.923406 40.572477)"
11184,0,"POINT (-111.913770 40.572331)"
11255,0,"POINT (-111.907886 40.587813)"
11257,0,"POINT (-111.908371 40.569754)"
11259,0,"POINT (-111.926737 40.562009)"
11261,0,"POINT (-111.934612 40.562298)"
11281,7,"POINT (-111.929153 40.555761)"
11282,5,"POINT (-111.943762 40.562247)"
11489,0,"POINT (-111.902652 40.580647)"
11507,0,"POINT (-111.902527 40.562393)"
11763,0,"POINT (-111.905488 40.584909)"
11827,16,"POINT (-111.929192 40.626782)"
11910,0,"POINT (-111.904258 40.589983)"
3000,0,"POINT (-111.916207 40.581200)"
3001,0,"POINT (-111.909573 40.580790)"
3002,29,"POINT (-111.911260 40.581966)"
1,0,"POINT (-111.920177 40.587738)"
2,0,"POINT (-111.918417 40.587734)"
3,0,"POINT (-111.916477 40.587730)"
4,0,"POINT (-111.914379 40.587726)"
5,0,"POINT (-111.912416 40.587722)"
